il,ilce,Bölge,ilkod,ilcekod,il_ilce
ADANA,ALADAĞ,AKDENİZ,TUR001,TUR001001,"ADANA, ALADAĞ"
ADANA,CEYHAN,AKDENİZ,TUR001,TUR001002,"ADANA, CEYHAN"
ADANA,ÇUKUROVA,AKDENİZ,TUR001,TUR001003,"ADANA, ÇUKUROVA"
ADANA,FEKE,AKDENİZ,TUR001,TUR001004,"ADANA, FEKE"
ADANA,İMAMOĞLU,AKDENİZ,TUR001,TUR001005,"ADANA, İMAMOĞLU"
ADANA,KARAİSALI,AKDENİZ,TUR001,TUR001006,"ADANA, KARAİSALI"
ADANA,KARATAŞ,AKDENİZ,TUR001,TUR001007,"ADANA, KARATAŞ"
ADANA,KOZAN,AKDENİZ,TUR001,TUR001008,"ADANA, KOZAN"
ADANA,POZANTI,AKDENİZ,TUR001,TUR001009,"ADANA, POZANTI"
ADANA,SAİMBEYLİ,AKDENİZ,TUR001,TUR001010,"ADANA, SAİMBEYLİ"
ADANA,SARIÇAM,AKDENİZ,TUR001,TUR001011,"ADANA, SARIÇAM"
ADANA,SEYHAN,AKDENİZ,TUR001,TUR001012,"ADANA, SEYHAN"
ADANA,TUFANBEYLİ,AKDENİZ,TUR001,TUR001013,"ADANA, TUFANBEYLİ"
ADANA,YUMURTALIK,AKDENİZ,TUR001,TUR001014,"ADANA, YUMURTALIK"
ADANA,YÜREĞİR,AKDENİZ,TUR001,TUR001015,"ADANA, YÜREĞİR"
ADIYAMAN,BESNİ,GÜNEYDOĞU ANADOLU,TUR002,TUR002002,"ADIYAMAN, BESNİ"
ADIYAMAN,ÇELİKHAN,GÜNEYDOĞU ANADOLU,TUR002,TUR002003,"ADIYAMAN, ÇELİKHAN"
ADIYAMAN,GERGER,GÜNEYDOĞU ANADOLU,TUR002,TUR002004,"ADIYAMAN, GERGER"
ADIYAMAN,GÖLBAŞI,GÜNEYDOĞU ANADOLU,TUR002,TUR002005,"ADIYAMAN, GÖLBAŞI"
ADIYAMAN,KAHTA,GÜNEYDOĞU ANADOLU,TUR002,TUR002006,"ADIYAMAN, KAHTA"
ADIYAMAN,ADIYAMAN,GÜNEYDOĞU ANADOLU,TUR002,TUR002001,"ADIYAMAN, ADIYAMAN"
ADIYAMAN,SAMSAT,GÜNEYDOĞU ANADOLU,TUR002,TUR002007,"ADIYAMAN, SAMSAT"
ADIYAMAN,SİNCİK,GÜNEYDOĞU ANADOLU,TUR002,TUR002008,"ADIYAMAN, SİNCİK"
ADIYAMAN,TUT,GÜNEYDOĞU ANADOLU,TUR002,TUR002009,"ADIYAMAN, TUT"
AFYONKARAHİSAR,BAŞMAKÇI,EGE,TUR003,TUR003002,"AFYONKARAHİSAR, BAŞMAKÇI"
